Run,Model,Dataset,Language,Task,Precision,Recall,F1,Accuracy
1,llama3.1:8b-instruct-fp16,csabstruct,en,seq-sent-class,32.48,42.15,36.43,53.89
2,llama3.1:8b-instruct-fp16,csabstruct,en,seq-sent-class,31.34,40.03,34.99,52.78
3,llama3.1:8b-instruct-fp16,csabstruct,en,seq-sent-class,35.53,45.12,39.45,55.67
1,mistral-nemo:12b-instruct-2407-fp16,csabstruct,en,seq-sent-class,35.95,45.54,39.74,57.01
2,mistral-nemo:12b-instruct-2407-fp16,csabstruct,en,seq-sent-class,33.99,43.71,37.86,56.49
3,mistral-nemo:12b-instruct-2407-fp16,csabstruct,en,seq-sent-class,37.27,47.1,41.22,58.04
1,gemma2:9b-instruct-fp16,csabstruct,en,seq-sent-class,46.23,49.65,47.0,62.05
2,gemma2:9b-instruct-fp16,csabstruct,en,seq-sent-class,46.12,49.36,46.85,61.53
3,gemma2:9b-instruct-fp16,csabstruct,en,seq-sent-class,46.65,49.79,47.33,62.19
run_20241207_102517,my_llama_31:latest,csabstruct,en,zero-shot,33.06,39.75,35.68,49.67
run_20241208_092531,my_llama_31:latest,csabstruct,en,zero-shot,28.13,35.08,30.8,47.22
run_20241210_042427,my_llama_31:latest,csabstruct,en,few-shot-2,26.54,32.96,28.92,44.18
run_20241210_043710,my_llama_31:latest,csabstruct,en,few-shot-4,30.46,37.06,33.12,49.0
run_20241207_190230,my_mistral_nemo:latest,csabstruct,en,zero-shot,34.63,46.68,39.39,56.63
run_20241208_100028,my_mistral_nemo:latest,csabstruct,en,zero-shot,33.57,44.55,37.92,55.45
run_20241210_044951,my_mistral_nemo:latest,csabstruct,en,few-shot-2,38.62,49.5,42.92,59.45
run_20241210_051203,my_mistral_nemo:latest,csabstruct,en,few-shot-4,38.54,47.67,42.06,58.64
run_20241209_205553,my_gemma_2:latest,csabstruct,en,few-shot-2-is-json,34.21,31.12,32.19,41.14
run_20241209_211017,my_gemma_2:latest,csabstruct,en,few-shot-2-with-anno-guide-in-user-prompt-is-json,40.17,30.69,34.34,40.03
run_20241209_212422,my_gemma_2:latest,csabstruct,en,few-shot-2-with-reasons-is-json,35.14,24.05,27.8,33.73
run_20241209_215357,my_gemma_2:latest,csabstruct,en,few-shot-2-with-reasons-with-anno-guide-in-user-prompt-is-json,35.9,20.65,25.3,29.36
run_20241209_164657,my_gemma_2:latest,csabstruct,en,few-shot-4-is-json,35.91,25.88,29.58,32.91
run_20241209_170557,my_gemma_2:latest,csabstruct,en,few-shot-4-with-anno-guide-in-user-prompt-is-json,32.03,15.84,20.62,24.68
run_20241209_172301,my_gemma_2:latest,csabstruct,en,few-shot-4-with-reasons-is-json,41.44,22.63,28.74,28.91
run_20241209_175443,my_gemma_2:latest,csabstruct,en,few-shot-4-with-reasons-with-anno-guide-in-user-prompt-is-json,45.1,22.49,29.08,28.84
run_20241207_141606,my_gemma_2:latest,csabstruct,en,zero-shot,37.59,44.98,39.99,54.71
run_20241208_093938,my_gemma_2:latest,csabstruct,en,zero-shot,37.28,45.26,40.02,55.08
run_20241210_013932,my_gemma_2:latest,csabstruct,en,few-shot-2-with-anno-guide-in-user-prompt,43.66,49.65,45.82,60.79
run_20241210_030244,my_gemma_2:latest,csabstruct,en,few-shot-4-with-anno-guide-in-user-prompt,45.94,46.53,45.78,57.89
run_20241210_012340,my_gemma_2:latest,csabstruct,en,few-shot-2,31.43,38.61,34.01,52.11
run_20241210_015158,my_gemma_2:latest,csabstruct,en,few-shot-2-with-reasons,32.79,31.12,31.03,41.96
run_20241210_021750,my_gemma_2:latest,csabstruct,en,few-shot-2-with-reasons-with-anno-guide-in-user-prompt,40.04,38.19,38.62,48.93
run_20241210_024316,my_gemma_2:latest,csabstruct,en,few-shot-4,35.39,37.2,35.59,47.96
run_20241210_031952,my_gemma_2:latest,csabstruct,en,few-shot-4-with-reasons,39.81,28.57,32.83,36.03
run_20241210_035157,my_gemma_2:latest,csabstruct,en,few-shot-4-with-reasons-with-anno-guide-in-user-prompt,40.04,27.16,32.01,35.14
run_20241210_192525,my_llama_31:latest,csabstruct,en,few-shot-2-with-anno-guide-in-user-prompt,33.8,43.28,37.71,51.96
run_20241210_193837,my_llama_31:latest,csabstruct,en,few-shot-4-with-anno-guide-in-user-prompt,31.6,40.59,35.09,50.63
run_20241211_021600,my_mistral_nemo:latest,csabstruct,en,few-shot-2-with-anno-guide-in-user-prompt,37.76,46.82,41.35,57.6
run_20241211_024033,my_mistral_nemo:latest,csabstruct,en,few-shot-4-with-anno-guide-in-user-prompt,40.84,50.07,44.57,60.27
